TicketID,UsuarioID,FechaCreacion,FechaCierre,Categoria,Prioridad,TecnicoID,SLA_Horas,TiempoResolucionHoras,Estado
T001,U003,2025-10-01,2025-10-01,Acceso,Alta,Tec01,4,1.5,Cerrado
T002,U002,2025-10-01,2025-10-02,Software,Media,Tec02,24,18.0,Cerrado
T003,U003,2025-10-02,2025-10-04,Hardware,Alta,Tec01,4,48.0,Cerrado
T004,U004,2025-10-03,2025-10-03,Software,Baja,Tec03,48,2.0,Cerrado
T005,U001,2025-10-04,2025-10-04,Red,Alta,Tec02,4,3.0,Cerrado
T006,U005,2025-10-05,2025-10-07,Hardware,Media,Tec04,24,30.0,Cerrado
T007,U002,2025-10-06,2025-10-06,Acceso,Alta,Tec01,4,5.0,Cerrado
T008,U006,2025-10-07,2025-10-08,Software,Media,Tec03,24,25.0,Cerrado
T009,U008,2025-10-08,2025-10-08,Acceso,Baja,Tec04,48,2.5,Cerrado
T010,U007,2025-10-09,2025-10-10,Software,Media,Tec01,24,15.0,Cerrado
T011,U003,2025-10-10,2025-10-10,Acceso,Alta,Tec02,4,6.0,Cerrado
T012,U005,2025-10-11,2025-10-11,Hardware,Alta,Tec03,4,3.5,Cerrado
T013,U011,2025-10-12,2025-10-13,Software,Media,Tec04,24,12.0,Cerrado
T014,U012,2025-10-13,2025-10-14,Acceso,Alta,Tec01,4,3.0,Cerrado
T015,U010,2025-10-14,2025-10-15,Red,Media,Tec02,24,20.0,Cerrado
T016,U003,2025-10-15,2025-10-16,Hardware,Alta,Tec03,4,2.0,Cerrado
T017,U004,2025-10-16,2025-10-16,Software,Baja,Tec04,48,1.0,Cerrado
T018,U001,2025-10-17,2025-10-17,Acceso,Alta,Tec01,4,5.5,Cerrado
T019,U005,2025-10-18,2025-10-18,Hardware,Media,Tec02,24,15.0,Cerrado
T020,U003,2025-10-19,2025-10-20,Acceso,Alta,Tec03,4,2.5,Cerrado
